ANIO,MES,VALOR
2020,1,6809719.0
2020,2,6163122.0
2020,3,4066537.0
2020,4,4733126.0
2020,5,3397684.0
2020,6,3895121.0
2020,7,3667310.0
2020,8,3276144.0
2020,9,4364859.0
2020,10,10672907.0
2020,11,8911504.0
2020,12,15434624.0
2021,1,8088700.0
2021,2,6565472.0
2021,3,7031366.0
2021,4,14329709.0
2021,5,9449702.0
2021,6,6854461.0
2021,7,8280403.0
2021,8,7737197.0
2021,9,9415194.0
2021,10,19144751.0
2021,11,13820365.0
2021,12,43271618.0
2022,1,12756007.0
2022,2,13658078.0
2022,3,14260975.0
2022,4,25983897.0
2022,5,13360108.0
2022,6,14940560.0
2022,7,14187469.0
2022,8,13524732.0
2022,9,17479830.0
2022,10,32985499.0
2022,11,18693755.0
2022,12,50275739.0
2023,1,17944180.0
2023,2,17797540.0
2023,3,16487474.0
2023,4,35060793.0
2023,5,15445540.0
2023,6,16144750.0
2023,7,15368712.0
2023,8,14334732.0
2023,9,17312992.0
2023,10,38956711.0
2023,11,21953262.0
2023,12,53012852.0
2024,1,15571301.0
2024,2,15894273.0
2024,3,13890406.0
2024,4,28472113.0
2024,5,14651843.0
2024,6,14389145.0
2024,7,13739731.0
2024,8,14015253.0
2024,9,18375159.0
2024,10,44093907.0
2024,11,24625806.0
2024,12,47322687.0
