FAB,ANIO,VALOR,UNIDADES,PRECIO_PROM
FAB13,2020,23745310.0,617561.0,38.45014500591844
FAB13,2021,42111048.0,1035894.0,40.65188909289947
FAB13,2022,48468074.0,1141829.0,42.44775180872092
FAB13,2023,66058902.0,1394470.0,47.37204959590382
FAB13,2024,77900858.0,1482809.0,52.536002951155545
FAB14,2020,46173401.0,441612.0,104.55649076564949
FAB14,2021,47146045.0,377788.0,124.79497760648829
FAB14,2022,70860356.0,488809.0,144.96532592485
FAB14,2023,82785291.0,463994.0,178.4188825717574
FAB14,2024,62379956.0,330643.0,188.6625635504154
FAB22,2020,54433274.0,681574.0,79.86407051912191
FAB22,2021,63772484.0,767533.0,83.0876118681542
FAB22,2022,73069891.0,736601.0,99.19873988767324
FAB22,2023,72093147.0,823751.0,87.5181298717695
FAB22,2024,74032989.0,775755.0,95.43346675174507
FAB44,2020,38097023.0,707014.0,53.884396914346816
FAB44,2021,53210618.0,956855.0,55.60990745724274
FAB44,2022,77452993.0,1227629.0,63.091530910397196
FAB44,2023,110192552.0,1486310.0,74.13833722440137
FAB44,2024,117520692.0,1351146.0,86.9785293373181
FAB52,2020,75392657.0,736274.0,102.39755444304701
FAB52,2021,153988938.0,1346683.0,114.34683440720644
FAB52,2022,242106649.0,2024763.0,119.57283346248425
FAB52,2023,279819538.0,2145216.0,130.43886396521376
FAB52,2024,265041624.0,1951496.0,135.81458737296924
FAB53,2020,44290005.0,406394.0,108.98292051555879
FAB53,2021,52787952.0,488086.0,108.1529730416361
FAB53,2022,78328845.0,705580.0,111.01341449587574
FAB53,2023,89442471.0,745306.0,120.00771629371023
FAB53,2024,91025024.0,705272.0,129.06371442507287
FAB60,2020,22460872.0,211948.0,105.97350293468209
FAB60,2021,32836241.0,349433.0,93.97006293051886
FAB60,2022,44848211.0,389584.0,115.11820557312416
FAB60,2023,58059251.0,490907.0,118.26934836944676
FAB60,2024,66454672.0,526910.0,126.12148564270939
FAB61,2020,28175218.0,285631.0,98.64201714799864
FAB61,2021,49083442.0,492524.0,99.65695478799003
FAB61,2022,61467964.0,569763.0,107.88339011132699
FAB61,2023,50482436.0,404539.0,124.79003507696414
FAB61,2024,73423751.0,500089.0,146.82136779653223
FAB83,2020,54247383.0,349795.0,155.08335739504568
FAB83,2021,82678293.0,541713.0,152.6237934109021
FAB83,2022,126630480.0,752283.0,168.32824881062047
FAB83,2023,140456909.0,762055.0,184.31334877403862
FAB83,2024,143105396.0,719588.0,198.87129301767123
